v x y z
v 1.38424094687927 0.722407452720763 -0.595112640360048
v 1.30891767049642 0.32995283421761 -0.562169219239778
v 1.28279169675384 0.511225942683531 -0.429570714365375
v 1.30381094859985 0.391794628101656 -0.452352313180886
v 1.33215726472094 0.239306159846501 -0.593127600661243
v 1.27695966705921 -0.101310546408315 -0.403538584147014
v 1.2912394608432 0.0641597187071481 -0.342325825790269
v 1.26101106294949 0.351685481086368 -0.333166715134158
v 0.369290236022506 -0.362941061870376 1.26598042801833
v 0.298002463822778 -0.46226794734951 1.30496203577496
v 0.336722681636386 -0.371496044650595 1.33533650059538
v 0.982766110916883 0.287939155848156 0.928999313300382
v 0.955300694731346 0.411261484645817 0.96874633693224
v 0.600834777172288 0.106314346213197 1.19333894309163
v 0.793055203578467 0.748169873330391 1.16437591382096
v 0.955433376007633 0.680098904723144 1.03508553394831
v 0.172796950605273 -0.473791066758785 1.3722987966518
v 0.123210294965261 -0.51083732807582 1.3797585473542
v 0.170094446825681 -0.499629296428962 1.35840516450037
v 0.111940927942317 -0.320795857096725 1.39800478205352
v 0.214686886083102 -0.426760508042644 1.39987238078579
v 0.240261800654825 -0.337798847864297 1.46286089918614
v 0.235178424118726 -0.292375372871713 1.44844656179829
v 1.09523253361645 1.69906522119624 0.155120850408441
v 1.20074872233661 -0.14412498037304 -0.64811228313744
v 1.10003355451584 -0.515817372448041 0.14271453163505
v 1.13410391614928 -0.432342665890435 -0.0896660005936876
v 0.754852072865051 -1.35545233033184 -0.275677219821281
v 0.663967246912245 -1.4388016359993 -0.148754293756971
v 0.851693577157397 -1.15359966032436 -0.59892365404029
v 0.812609217577788 -1.25687853012766 -0.434397625577787
v 0.917235895350395 -0.943962332887795 0.028440870113293
v 0.818971437599544 -1.06607732172904 0.338177653071725
v 1.18385667744091 0.976755041542617 0.122309661233056
v 1.10852925984699 1.00347494867919 0.476826120468611
v 1.07154113889376 0.550162972400954 0.623402686740174
v 1.17366733445059 0.577398626278526 0.226431720055089
v 1.30123251792892 0.906702856961796 -0.543627517337181
v 1.28142840571249 1.03822323655323 -0.632282672163316
v 1.27937568176564 1.11831122932392 -0.314030415695542
v 1.25814592420291 0.9344215512256 -0.207871888541327
v 0.114894904090696 -1.65267678672267 0.111940117295273
v 0.251397403969188 -1.61153628964056 0.048284020104143
v 1.09875654928569 -0.303561621101839 -0.715708399769189
v 1.06620057224342 -0.473134811095479 -0.603263954349673
v 0.984779155060438 -0.52292250209789 -0.911730820202205
v 1.0098057579157 -0.276327965985148 -0.970532571177123
v 1.13554853160686 -0.117951923442358 -0.788007461185722
v 1.05164194866153 -0.601331183409988 0.402456848261129
v 0.974212472222547 -0.82114671441328 -0.230428925414466
v 0.135463190748337 -1.41470708991057 1.17423871282777
v 0.125832485396439 -1.46655770174048 0.934657737081191
v 0.253314636970815 -1.43937753876417 0.879959604838036
v 0.267390700541604 -1.3836076443687 1.08888888117903
v 0.370352134989279 -1.40133838811162 0.8169588970639
v 0.395072774946821 -1.32392606511902 1.00343177540663
v 0.129782684554613 -1.14607979858132 1.20502061789192
v 0.0209892363779798 -1.1572132240758 1.22376224087546
v 0.0129744022513149 -1.41660158007601 1.21863001481789
v 0.211155455476451 -0.00488465218957992 1.34747691516094
v 0.319284361543347 -0.0508912078921904 1.28822938642653
